iter	Passed	Remaining
0	135	13459
1	139	6851
2	142	4606
3	144	3474
4	147	2793
5	149	2336
6	151	2007
7	152	1757
8	154	1562
9	156	1405
10	157	1277
11	159	1169
12	161	1079
13	163	1001
14	164	932
15	166	873
16	167	819
17	169	773
18	171	730
19	172	691
20	174	656
21	176	625
22	178	597
23	180	570
24	181	544
25	183	521
26	185	500
27	187	481
28	188	461
29	190	443
30	192	428
31	194	413
32	196	398
33	197	383
34	199	370
35	201	357
36	203	345
37	204	333
38	206	322
39	208	312
40	210	302
41	211	292
42	213	283
43	214	273
44	216	264
45	218	256
46	219	247
47	221	239
48	222	231
49	224	224
50	226	217
51	228	210
52	229	203
53	230	196
54	232	190
55	234	184
56	235	177
57	237	171
58	238	165
59	239	159
60	241	154
61	243	149
62	244	143
63	246	138
64	247	133
65	249	128
66	250	123
67	252	118
68	253	113
69	255	109
70	256	104
71	258	100
72	259	96
73	261	91
74	262	87
75	264	83
76	266	79
77	267	75
78	269	71
79	270	67
80	272	63
81	273	60
82	275	56
83	276	52
84	278	49
85	279	45
86	281	42
87	283	38
88	284	35
89	285	31
90	287	28
91	288	25
92	290	21
93	291	18
94	293	15
95	294	12
96	296	9
97	297	6
98	299	3
99	300	0
