y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport         Viscous_Dissipation           Balance
""
0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    4.785271037302904e-14    2.490191037923091e-01    0.000000000000000e+00   -3.161438297832761e-12    2.490180081760424e-01    1.095613153118125e-06
4.814781378392752e-05    4.473535515368329e-03    9.953275601298575e-11    1.686911728876731e-10    2.486957973424069e-01    0.000000000000000e+00    1.087238979614681e-04    2.488030634981299e-01    1.458010462362935e-06
2.407066139520353e-04    2.236466210347310e-02    1.245808232877028e-08    2.108449546821267e-08    2.474156125900514e-01    0.000000000000000e+00    5.395422809631796e-04    2.479509744528288e-01    4.213960763582714e-06
6.738422300787139e-04    6.260839093421923e-02    2.743621926026500e-07    4.626995411395537e-07    2.445950263532631e-01    0.000000000000000e+00    1.485469205711960e-03    2.460769032966424e-01    4.329324066465468e-06
1.443558326269967e-03    1.341246659724782e-01    2.715364111592385e-06    4.553062594190825e-06    2.398019572346088e-01    0.000000000000000e+00    3.089336783186767e-03    2.428995280816147e-01   -9.656371133537345e-07
2.645631688031891e-03    2.458123513168804e-01    1.688197144171034e-05    2.808040210055598e-05    2.328684754836785e-01    0.000000000000000e+00    5.405362108822069e-03    2.383226653879251e-01   -3.865421882270903e-06
4.375547662071155e-03    4.065432327479079e-01    7.739960908530805e-05    1.274169801723887e-04    2.239049130799245e-01    0.000000000000000e+00    8.362475443923162e-03    2.324740429835016e-01   -1.837870396231844e-06
6.728435792545118e-03    6.251560375286207e-01    2.860483269964429e-04    4.646555502251484e-04    2.131747974637250e-01    0.000000000000000e+00    1.174429446953899e-02    2.256700843162981e-01   -2.885058125179363e-07
9.750857883363828e-03    9.059769409737694e-01    8.856651883339075e-04    1.411636627990028e-03    2.009553504033837e-01    0.000000000000000e+00    1.515516770875422e-02    2.184078753544421e-01   -5.542598019436795e-08
1.344077661230325e-02    1.248816650307437e+00    2.353670502827882e-03    3.639615401274711e-03    1.869317993747716e-01    0.000000000000000e+00    1.815258994771805e-02    2.110775354809593e-01    1.397456328988689e-07
1.779570471808556e-02    1.653444067774858e+00    5.503682928096806e-03    8.093342249435663e-03    1.696625625126564e-01    0.000000000000000e+00    2.041117213087610e-02    2.036703784573383e-01    3.813637266258940e-07
2.281270667696611e-02    2.119586446418365e+00    1.153419724203240e-02    1.564873647851807e-02    1.468809980093357e-01    0.000000000000000e+00    2.176375338345323e-02    1.958269015894376e-01    7.835239017039974e-07
2.848840068147995e-02    2.646929573927749e+00    2.193373496434753e-02    2.637220583263657e-02    1.166081338472828e-01    0.000000000000000e+00    2.219956810493558e-02    1.871123602113392e-01    1.282537863273037e-06
